Epoch,sparse_flops,val_set_gradient_magnintude,val_set_Hg_magnitude,val_accuracy,test_set_gradient_magnitude,test_set_Hg_magnitude,test_accuracy,individual
-1,0.0,0.9181894,3.6922593e-06,77.1,0.84450483,3.4559282e-06,77.8,0
0,4331471520.0,0.9004246,3.260627e-06,77.16,0.8298569,3.3249237e-06,77.99,0
1,8662943040.0,0.88392556,3.6402591e-06,78.12,0.8026055,3.0876713e-06,78.38,0
2,12994414560.0,0.84478605,3.426986e-06,78.3,0.7731313,2.8166307e-06,78.85,0
3,17325886080.0,0.8183962,2.841418e-06,79.5,0.747308,2.5856596e-06,79.33,0
4,21657357600.0,0.78526497,2.8211934e-06,79.94,0.7228326,2.3827554e-06,79.73,0
5,25988829120.0,0.7625328,2.5196414e-06,80.22,0.70222485,2.2359309e-06,80.01,0
6,30320300640.0,0.74014544,2.325485e-06,80.18,0.68456453,2.1350693e-06,80.32,0
7,34651772160.0,0.7234628,2.2353047e-06,81.28,0.6691812,2.0662178e-06,80.53,0
8,38983243680.0,0.7143632,2.0768916e-06,80.94,0.6557846,1.9907063e-06,80.77,0
9,43314715200.0,0.69632953,2.1983126e-06,81.2,0.64461553,1.8990371e-06,80.96,0
10,47646186720.0,0.6953306,2.2854877e-06,82.06,0.63604844,1.8525307e-06,81.03,0
11,51977658240.0,0.685218,2.1223761e-06,82.0,0.6291889,1.8214973e-06,81.14,0
12,56309129760.0,0.6795306,1.6269491e-06,81.72,0.6234895,1.7682767e-06,81.25,0
13,60640601280.0,0.6719124,2.2519919e-06,82.56,0.6190608,1.7429697e-06,81.32,0
14,64972072800.0,0.6668622,1.8752986e-06,82.86,0.6161962,1.7295758e-06,81.39,0
15,69303544320.0,0.66792095,2.1144592e-06,82.26,0.6140444,1.7179531e-06,81.47,0
16,73635015840.0,0.6575258,1.7663934e-06,82.66,0.6126703,1.7122061e-06,81.51,0
17,77966487360.0,0.66192997,1.8366541e-06,81.68,0.6118938,1.7129968e-06,81.51,0
18,82297958880.0,0.67020065,1.5120917e-06,82.98,0.6116724,1.712844e-06,81.51,0
19,86629430400.0,0.66485834,2.1619185e-06,83.16,0.6116214,1.7125909e-06,81.52,0
20,90960901920.0,0.6644737,1.7811325e-06,82.3,0.6116056,1.7127836e-06,81.52,0
21,95292373440.0,0.6637258,2.0914106e-06,82.14,0.6113973,1.7121964e-06,81.52,0
22,99623844960.0,0.6661688,2.396942e-06,82.4,0.6108072,1.7105826e-06,81.52,0
23,103955316480.0,0.66191006,2.0212997e-06,82.46,0.6095173,1.7018818e-06,81.55,0
24,108286788000.0,0.65628064,1.5568509e-06,81.94,0.6074644,1.6905077e-06,81.56,0
25,112618259520.0,0.6581649,1.9200766e-06,82.72,0.604819,1.685761e-06,81.62,0
26,116949731040.0,0.64762086,1.6569579e-06,82.58,0.6012186,1.6775966e-06,81.7,0
27,121281202560.0,0.64601666,1.7279948e-06,82.66,0.59660167,1.6498726e-06,81.79,0
28,125612674080.0,0.6434587,2.133195e-06,83.02,0.5903715,1.6208897e-06,81.9,0
29,129944145600.0,0.62684643,1.5329275e-06,82.64,0.5828971,1.5868401e-06,82.04,0
30,134275617120.0,0.62884456,1.7066058e-06,82.96,0.57467216,1.5499171e-06,82.16,0
31,138607088640.0,0.61114985,1.5983071e-06,83.86,0.5660149,1.5207629e-06,82.36,0
32,142938560160.0,0.6074396,1.6057086e-06,84.06,0.55631965,1.478636e-06,82.63,0
33,147270031680.0,0.5924042,1.3698095e-06,82.84,0.5460987,1.4387324e-06,82.85,0
34,151601503200.0,0.58069116,1.6976212e-06,84.34,0.5350578,1.4092088e-06,83.18,0
35,155932974720.0,0.56807524,1.4333431e-06,84.26,0.5242674,1.375401e-06,83.4,0
36,160264446240.0,0.5562332,1.4465769e-06,84.56,0.51357347,1.3339702e-06,83.66,0
37,164595917760.0,0.5479804,1.4046728e-06,85.0,0.50298154,1.3036146e-06,83.87,0
38,168927389280.0,0.5386839,1.0670685e-06,85.22,0.49257728,1.2754851e-06,84.0,0
39,173258860800.0,0.5282939,1.6041141e-06,85.96,0.48207074,1.2519389e-06,84.2,0
40,177590332320.0,0.5115681,1.6565708e-06,85.46,0.47224808,1.2383208e-06,84.44,0
41,181921803840.0,0.5020833,1.3091079e-06,85.62,0.46272448,1.208773e-06,84.62,0
42,186253275360.0,0.49205458,1.1781729e-06,86.2,0.45411637,1.1901203e-06,84.77,0
43,190584746880.0,0.48699257,1.2170032e-06,86.52,0.44584495,1.1795355e-06,84.93,0
44,194916218400.0,0.4806215,1.2594736e-06,86.72,0.43825412,1.1681607e-06,85.05,0
45,199247689920.0,0.472959,1.166002e-06,86.64,0.43158925,1.1618054e-06,85.17,0
46,203579161440.0,0.46801808,1.2667607e-06,86.88,0.4258255,1.1540129e-06,85.32,0
47,207910632960.0,0.45428714,1.3431792e-06,86.7,0.42062345,1.1409695e-06,85.46,0
48,212242104480.0,0.45490795,9.874653e-07,88.2,0.41582337,1.1413339e-06,85.55,0
49,216573576000.0,0.4491252,1.2541567e-06,87.74,0.41199872,1.1336886e-06,85.62,0
50,220905047520.0,0.45190752,1.0851608e-06,87.56,0.4088821,1.1267736e-06,85.64,0
51,225236519040.0,0.44160163,1.560144e-06,87.56,0.4062876,1.1302678e-06,85.67,0
52,229567990560.0,0.43705684,1.2522132e-06,87.74,0.4039989,1.1323646e-06,85.68,0
53,233899462080.0,0.4396742,1.214258e-06,87.3,0.40236852,1.1322278e-06,85.73,0
54,238230933600.0,0.43477935,1.2257981e-06,87.88,0.40112934,1.1341797e-06,85.76,0
55,242562405120.0,0.43418312,1.0033198e-06,87.86,0.40026772,1.1306603e-06,85.77,0
56,246893876640.0,0.4376127,1.1660544e-06,87.56,0.3998517,1.1262787e-06,85.78,0
57,251225348160.0,0.44143045,1.380442e-06,87.96,0.39958298,1.1277457e-06,85.77,0
58,255556819680.0,0.43716952,1.3742331e-06,87.98,0.39949232,1.1285331e-06,85.77,0
59,259888291200.0,0.4378606,1.1054109e-06,87.4,0.3994701,1.1279084e-06,85.77,0
60,264219762720.0,0.4392546,1.3732553e-06,87.98,0.3994692,1.1282086e-06,85.77,0
61,268551234240.0,0.43823284,1.5833863e-06,87.88,0.39933345,1.1277843e-06,85.77,0
62,272882705760.0,0.43223155,9.645563e-07,87.82,0.39908603,1.1269894e-06,85.77,0
63,277214177280.0,0.43490598,8.930161e-07,87.8,0.39858025,1.1270001e-06,85.78,0
64,281545648800.0,0.43630776,1.0424305e-06,88.02,0.39779687,1.1233593e-06,85.79,0
65,285877120320.0,0.43421036,1.3265426e-06,87.66,0.3967481,1.1202001e-06,85.78,0
66,290208591840.0,0.4294604,1.4499552e-06,87.82,0.39509368,1.1225437e-06,85.79,0
67,294540063360.0,0.4287378,1.225859e-06,87.98,0.39329368,1.1254675e-06,85.84,0
68,298871534880.0,0.42592588,1.4701828e-06,88.46,0.39059773,1.1185612e-06,85.92,0
69,303203006400.0,0.42294535,1.2728265e-06,88.26,0.38779497,1.1108377e-06,85.98,0
70,307534477920.0,0.41958565,1.1352738e-06,88.4,0.38454378,1.1085825e-06,86.04,0
71,311865949440.0,0.41491002,1.1706454e-06,88.02,0.3811283,1.1003583e-06,86.09,0
72,316197420960.0,0.41402975,1.2359113e-06,88.22,0.37704778,1.1012993e-06,86.16,0
73,320528892480.0,0.40524557,1.3560815e-06,88.36,0.3728379,1.111097e-06,86.17,0
74,324860364000.0,0.40199414,1.3246973e-06,88.72,0.368185,1.096355e-06,86.26,0
75,329191835520.0,0.39838758,1.0851344e-06,89.26,0.36325935,1.0860151e-06,86.32,0
76,333523307040.0,0.39065963,9.408324e-07,88.9,0.35837278,1.0729433e-06,86.45,0
77,337854778560.0,0.38262752,1.3492186e-06,89.28,0.35331064,1.0633356e-06,86.58,0
78,342186250080.0,0.38243294,1.1003805e-06,89.1,0.34827408,1.0533362e-06,86.65,0
79,346517721600.0,0.3768894,1.038598e-06,89.58,0.34333038,1.0430224e-06,86.7,0
80,350849193120.0,0.36628267,9.146345e-07,88.82,0.33870882,1.0296236e-06,86.75,0
81,355180664640.0,0.36407837,1.0331171e-06,89.28,0.3341163,1.0237762e-06,86.84,0
82,359512136160.0,0.35896066,1.1431823e-06,89.62,0.32961258,1.0250772e-06,86.88,0
83,363843607680.0,0.35514516,1.411602e-06,89.68,0.3255842,1.0283585e-06,86.94,0
84,368175079200.0,0.35118696,8.7401145e-07,90.0,0.3220177,1.040871e-06,87.1,0
85,372506550720.0,0.3491205,1.1502353e-06,90.5,0.31863472,1.0408137e-06,87.1,0
86,376838022240.0,0.34258026,1.6332446e-06,89.9,0.31577474,1.0413964e-06,87.12,0
87,381169493760.0,0.34014824,9.956262e-07,89.46,0.31312057,1.0325122e-06,87.18,0
88,385500965280.0,0.33436325,1.245543e-06,90.12,0.31064704,1.0320452e-06,87.21,0
89,389832436800.0,0.33233282,1.0246144e-06,89.86,0.30843186,1.0247785e-06,87.26,0
90,394163908320.0,0.33331966,1.0413404e-06,90.36,0.30655998,1.0294515e-06,87.28,0
91,398495379840.0,0.33060825,8.1768854e-07,90.64,0.30484268,1.022178e-06,87.3,0
92,402826851360.0,0.33171517,1.0974071e-06,89.74,0.30357492,1.024738e-06,87.31,0
93,407158322880.0,0.32512227,1.2485262e-06,90.08,0.30266663,1.0244494e-06,87.31,0
94,411489794400.0,0.3245648,1.1380635e-06,90.18,0.30210614,1.0250404e-06,87.32,0
95,415821265920.0,0.3275443,1.187057e-06,90.14,0.30173135,1.025476e-06,87.32,0
96,420152737440.0,0.32855707,9.698844e-07,90.52,0.30147612,1.0261535e-06,87.32,0
97,424484208960.0,0.32427314,1.112476e-06,90.48,0.30130643,1.0250681e-06,87.33,0
98,428815680480.0,0.3240071,1.0938778e-06,89.9,0.3012201,1.0260726e-06,87.33,0
99,433147152000.0,0.32711628,1.0218571e-06,90.58,0.30119637,1.0262493e-06,87.33,0
